NOME_CURSO,ESCOLAS_CURSO,RESPONDENT_STUDENT_NUMBER,RESPONDENT_GENDER,RESPONDENT_AGE,NACIONALIDADE_1,CONCELHO_DE_RESIDENCIA,DISTRITO_DE_RESIDENCIA,DESLOCADO_AREA_RESIDENCIA,ANO_CONCLUSAO_DA_HABILITACAO_ANTERIOR,NOTA_CONCLUSAO_HABILITACAO_ANTERIOR,FREQUENTA_OUTROS_CURSOS_EM_SIMULTANEO,ESTATUTO_TRABALHADOR_ESTUDANTE,NIVEL_ESCOLARIDADE_PAI,NIVEL_ESCOLARIDADE_MAE,CONDICAO_PROFISSIONAL_PAI,CONDICAO_PROFISSIONAL_MAE,HABILITACAO_ACADEMICA_ANTERIOR,FREQUENCIA_PERIODO_DIA,TEMPO_PARCIAL,CONDICAO_PROFISSIONAL_ALUNO,SCHOLARSHIP_GRANT_OWNER,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11 MOTIVAÇÕES E EXPETATIVAS,1-12,1-13.1 MOTIVAÇÕES E EXPETATIVAS,1-13.2 MOTIVAÇÕES E EXPETATIVAS,1-13.3 MOTIVAÇÕES E EXPETATIVAS,1-13.4 MOTIVAÇÕES E EXPETATIVAS,1-13.5 MOTIVAÇÕES E EXPETATIVAS,1-13.6 MOTIVAÇÕES E EXPETATIVAS,1-13.7 MOTIVAÇÕES E EXPETATIVAS,1-13.8 MOTIVAÇÕES E EXPETATIVAS,1-13.9 MOTIVAÇÕES E EXPETATIVAS,1-13.10 MOTIVAÇÕES E EXPETATIVAS,1-13.11 MOTIVAÇÕES E EXPETATIVAS,1-13.12 MOTIVAÇÕES E EXPETATIVAS,1-13.13 MOTIVAÇÕES E EXPETATIVAS,1-13.14 MOTIVAÇÕES E EXPETATIVAS,1-13.15 MOTIVAÇÕES E EXPETATIVAS,1-13.16 MOTIVAÇÕES E EXPETATIVAS,1-13.17 MOTIVAÇÕES E EXPETATIVAS,1-13.18 MOTIVAÇÕES E EXPETATIVAS,1-14,1-15.1 MOTIVAÇÕES E EXPETATIVAS,1-15.2 MOTIVAÇÕES E EXPETATIVAS,1-15.3 MOTIVAÇÕES E EXPETATIVAS,1-15.4 MOTIVAÇÕES E EXPETATIVAS,1-15.5 MOTIVAÇÕES E EXPETATIVAS,1-15.6 MOTIVAÇÕES E EXPETATIVAS,1-15.7 MOTIVAÇÕES E EXPETATIVAS,1-15.8 MOTIVAÇÕES E EXPETATIVAS,1-15.9 MOTIVAÇÕES E EXPETATIVAS,1-15.10 MOTIVAÇÕES E EXPETATIVAS,1-15.11 MOTIVAÇÕES E EXPETATIVAS,1-15.12 MOTIVAÇÕES E EXPETATIVAS,1-15.13 MOTIVAÇÕES E EXPETATIVAS,1-15.14 MOTIVAÇÕES E EXPETATIVAS,1-15.15 MOTIVAÇÕES E EXPETATIVAS,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,ESCOLAS_CURSO_NORMALIZED
"Doutoramento em Economia Política, Doutoramento Interdisciplinar",0503; ECSH; 1517,121296,Feminino,32,Brasil,Lisboa,Lisboa,True,2025.0,,True,False,Diploma de Especialização Tecnológica,Ensino superior - Licenciatura (Pré Bolonha),Trabalha por conta própria - independente (sem empregados),Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Tarde,False,"Aluno, estudante",Estudante sem bolsa,1.0,1.0,1.0,2.0,,2.0,,,,Jornalista e estudante,"4, 3",,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,,1.0,1.0,2.0,"9, 4, 2",,"8, 4, 1",,4,,1.0,,Penso em trabalhar com ensino e pesquisa ou na administração pública.,"['0503', 'ECSH', '1517']"
Doutoramento em Políticas Públicas,ESPP,135134,Masculino,48,Portugal,Lisboa,Lisboa,False,2000.0,13.0,False,True,Ensino superior - Licenciatura (Pré Bolonha),Ensino superior - Licenciatura (Pré Bolonha),Outra situação,Reformado/a,Ensino superior - Licenciatura (Pré Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,3.0,Julgo ser incompatível com a minha atividade laboral.,1.0,,,,Gestor Cultural,"4, 1, 6",,5.0,3.0,4.0,66.0,66.0,4.0,4.0,5.0,66.0,3.0,2.0,2.0,1.0,3.0,66.0,4.0,4.0,66.0,,5.0,2.0,3.0,4.0,3.0,66.0,5.0,4.0,5.0,4.0,2.0,2.0,66.0,4.0,66.0,,1.0,1.0,1.0,"8, 7, 2",,"3, 1",,1,,2.0,,"Após o doutoramento gostaria de continuar a trabalhar na minha área atual, a cultura, eventualmente num contexto internacional.",['ESPP']
Doutoramento em Administração Pública,ESPP,97109,Masculino,36,Portugal,Arruda dos Vinhos,Lisboa,False,2024.0,17.0,False,True,Ensino pós-graduado - Mestrado (Bolonha),Ensino pós-graduado - Doutoramento (Pré Bolonha),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,3.0,Entendo que o percurso que pretendo desenvolver a nível académico não se enquadra nos requisitos da bolsa.,3.0,,2.0,,Técnico Superior da Administração Local,"9, 4",,4.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,66.0,3.0,66.0,66.0,1.0,3.0,4.0,2.0,4.0,66.0,,5.0,5.0,5.0,4.0,4.0,66.0,2.0,66.0,4.0,3.0,66.0,1.0,1.0,5.0,66.0,,4.0,1.0,2.0,1,,"4, 1",,"4, 2",,2.0,,"Cargo dirigente na Administração Pública central, contribuindo, num papel mais ativo, no desenvolvimento de políticas públicas de melhoria/otimização efetiva dos serviços públicos prestados, na sua vertente mais pragmática.",['ESPP']
Doutoramento em Serviço Social,ESPP,134532,Masculino,52,Portugal,Seixal,Setúbal,False,1999.0,15.0,False,True,1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),Outra situação,Outra situação,Ensino superior - Licenciatura (Pré Bolonha),,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,2.0,,3.0,,2.0,,Técnico de superior em Serviço Social,"7, 3, 1",,5.0,4.0,66.0,66.0,66.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,66.0,5.0,5.0,5.0,5.0,1.0,,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,1.0,1.0,2.0,"7, 1, 10",,"8, 5, 12",,"4, 3, 2",,1.0,,Aproveitar as competências adquiridas e aplicar no meu local de trabalho. Se possível dar aulas no ensino superior.,['ESPP']
Doutoramento em Psicologia,ECSH,134854,Feminino,41,Nigéria,Ibadan,,False,2021.0,5.2,False,False,Diploma de curso técnico superior profissional,Ensino médio,Outra situação,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Manhã,False,Trabalha por conta própria - independente (sem empregados),Estudante sem bolsa,1.0,1.0,2.0,2.0,,1.0,,,,Counselling Psychologist,"5, 2, 1",,5.0,5.0,66.0,66.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,66.0,,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,66.0,,3.0,1.0,2.0,"8, 10",,"8, 7, 2",,4,,1.0,,I want to go into academic teaching at a higher-learning institution. I would also like to be involved in research and project works at the national and international levels.,['ECSH']
"Doutoramento em Economia Política, Doutoramento Interdisciplinar",0503; ECSH; 1517,133702,Masculino,32,Angola,Odivelas,Lisboa,True,2021.0,3.8,False,False,Ensino superior - Licenciatura (Bolonha),Ensino Secundário - 12º ano de escolaridade ou equivalente,Trabalha por conta de outrem,Trabalha por conta própria - (como empregador),Ensino pós-graduado - Mestrado (Pré Bolonha),Tarde,False,"Aluno, estudante",Estudante sem bolsa,2.0,1.0,1.0,2.0,,2.0,,,,Empregado de Mesa,"3, 2, 1, 6",,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,66.0,,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,66.0,,1.0,1.0,1.0,"9, 5, 4",,"8, 4, 1",,"4, 3",,1.0,,"Após o doutoramento, gostaria de seguir carreira no Ensino Superior, com foco na docência e na pesquisa. Pretendo lecionar em universidades ou centros de pesquisa, orientando alunos de graduação e pós-graduação, além de desenvolver projetos de pesquisa que contribuam para o avanço da minha área de estudo.","['0503', 'ECSH', '1517']"
Doutoramento em Estudos Internacionais,ESPP,134500,Feminino,34,Alemanha,"Atlixco, Puebla",,True,2017.0,,False,False,Ensino médio,Ensino médio,Outra situação,Doméstica/o,Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta própria - independente (sem empregados),Estudante sem bolsa,1.0,2.0,2.0,2.0,,1.0,,,,Teaching Professor and Consultant,"2, 1, 6",,5.0,4.0,66.0,66.0,66.0,5.0,5.0,5.0,66.0,5.0,5.0,5.0,5.0,5.0,66.0,5.0,66.0,66.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,,1.0,1.0,2.0,10,,"3, 2, 1",,"4, 3",,1.0,,Professor (Research),['ESPP']
Doutoramento em Administração Pública,ESPP,114002,Masculino,46,Portugal,Portalegre,Portalegre,False,2017.0,18.0,True,False,Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,2.0,,3.0,,2.0,,Diretor de Serviços,"3, 1, 6",,5.0,4.0,4.0,4.0,66.0,5.0,5.0,5.0,4.0,3.0,66.0,66.0,5.0,4.0,4.0,2.0,3.0,66.0,,4.0,66.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,66.0,66.0,5.0,4.0,66.0,,3.0,1.0,2.0,"7, 5, 2",,"4, 1",,"3, 2",,2.0,,"Manter-me-ia ligado à área da saúde, na qual gostaria de constituir-me como ator participativo na definição de estratégias locais.",['ESPP']
"Doutoramento em Economia Política, Doutoramento Interdisciplinar",0503; ECSH; 1517,134497,Masculino,29,Portugal,Amadora,Lisboa,False,2023.0,16.2,False,False,Ensino superior - Licenciatura (Pré Bolonha),Ensino superior - Licenciatura (Pré Bolonha),Trabalha por conta de outrem,Trabalha por conta de outrem,Ensino pós-graduado - Mestrado (Bolonha),Tarde,False,"Aluno, estudante",Estudante sem bolsa,2.0,2.0,2.0,1.0,,6.0,"Sem trabalho, à espera de me candidatar a bolsas e/ou a um trabalho de investigação.",,,Ex-estudante e ex-estagiário.,"10, 8, 3",,3.0,5.0,66.0,66.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,66.0,,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,66.0,,1.0,1.0,2.0,"9, 4",,"8, 12, 11",,"4, 3, 2",,1.0,,"Gostaria de desenvolver o tema que pretendo trabalhar na tese de doutoramento, dentro de um grupo de investigação/academia, nacional e internacionalmente, e de o expandir para fora da academia, seja em grupos da comunidade civil, mas idealmente junto de governos e organizações governamentais.","['0503', 'ECSH', '1517']"
Doutoramento em Gestão,EG,135511,Feminino,56,Roménia,"Mumbai, India",,False,2022.0,8.0,False,False,Ensino Secundário - 12º ano de escolaridade ou equivalente,Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),,False,Desempregado/a,Estudante sem bolsa,1.0,2.0,2.0,2.0,,4.0,,,,Chief Strategy Officer (CSO),5,,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,Student Residency (a place to stay while I study in ISCTE) is very important for me because I do not live in Portugal,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,Help with a place to stay while I study in ISCTE is Very Important to me because I do not live in Portugal,1.0,1.0,2.0,9,,"8, 4, 1",,"4, 3",,3.0,,CEO of a private company,['EG']
